Index,Name,RADEG,DEDEG,CZ,LOGMSTAR
3508,ECO03533,185.665,6.2269,2714.76,8.89
3729,ECO03754,193.762,8.0658,2716.34,10.65
6382,ECO06407,206.891,40.3512,2717.15,8.89
3476,ECO03501,184.80200000000002,6.3817,2718.34,8.99
4841,ECO04866,225.385,48.3197,2718.5,9.85
3732,ECO03757,193.84799999999998,7.9097,2720.92,9.43
6404,ECO06429,208.243,39.7187,2726.44,8.47
4085,ECO04110,202.208,46.2622,2730.44,9.43
596,ECO00603,155.334,12.1751,2730.63,8.77
6535,ECO06560,224.895,32.8414,2730.97,8.97
6548,ECO06573,229.812,44.916000000000004,2738.25,8.87
2890,ECO02915,174.93599999999998,31.9308,2739.22,10.37
4894,ECO04919,228.763,42.0497,2740.06,10.79
893,ECO00905,232.685,47.3189,2740.19,8.21
3019,ECO03044,176.361,9.1611,2742.33,9.47
8617,ECO08642,137.395,26.6091,2742.55,8.55
6283,ECO06308,202.204,45.7299,2744.19,8.59
4185,ECO04210,204.205,44.8814,2744.75,9.17
93,ECO00094,147.91899999999998,14.0378,2745.75,8.39
2219,ECO02244,172.37099999999998,24.0933,2746.19,9.75
1039,ECO01052,176.19099999999997,9.2125,2750.13,9.07
4277,ECO04302,207.234,39.9856,2752.62,10.75
4330,ECO04355,208.516,39.9853,2754.43,9.35
9181,ECO09206,159.292,12.6525,2755.75,9.77
3642,ECO03667,189.95,12.9739,2760.9,9.65
6859,ECO06884,149.697,11.3886,2761.46,9.05
5009,ECO05034,236.19099999999997,46.0789,2762.78,9.07
5264,ECO05289,142.231,49.2385,2763.9,9.83
5208,ECO05233,137.284,26.6033,2765.56,8.81
8310,ECO08335,155.41,12.5758,2768.77,9.17
397,ECO00401,206.145,42.1696,2770.07,8.61
3634,ECO03659,189.767,13.3636,2772.95,9.55
6385,ECO06410,207.188,41.7097,2774.86,9.43
4676,ECO04701,216.90200000000002,41.2578,2775.29,9.47
4974,ECO04999,234.187,44.2375,2776.25,9.51
4947,ECO04972,232.878,40.43,2776.45,9.71
4934,ECO04959,231.673,40.5644,2777.17,10.17
9214,ECO09239,159.34799999999998,12.1567,2778.03,8.93
4932,ECO04957,231.533,41.6761,2779.61,10.55
7567,ECO07592,152.054,18.7069,2779.84,9.77
3723,ECO03748,193.46200000000002,9.71,2781.02,10.05
4415,ECO04440,210.35,36.8,2788.48,9.53
