Index,Name,RADEG,DEDEG,CZ
236,ECO00238,149.37,45.2151,4380.0
237,ECO00239,172.076,41.4438,3008.0
238,ECO00240,176.479,17.1929,3242.0
239,ECO00241,177.59900000000002,-0.528,3724.0
240,ECO00242,191.433,47.1009,4840.0
241,ECO00243,145.678,9.4561,3028.0
242,ECO00244,195.39700000000002,28.1467,5290.0
243,ECO00245,201.456,33.0651,4444.0
244,ECO00246,202.36,0.9034,3184.0
245,ECO00247,227.40400000000002,39.2653,4364.0
246,ECO00248,210.15400000000002,36.0519,3328.0
247,ECO00249,157.474,20.8016,2880.0
248,ECO00250,136.341,21.6228,2992.0
249,ECO00251,156.059,0.1476,6816.0
250,ECO00252,194.43599999999998,34.8395,4640.0
251,ECO00253,196.601,35.2286,4920.0
252,ECO00254,217.833,34.6344,4460.0
253,ECO00255,217.933,31.6903,3442.0
254,ECO00256,161.343,1.9854,5548.0
255,ECO00257,176.058,19.3365,5730.0
256,ECO00258,186.46099999999998,1.443,6876.0
257,ECO00259,213.78799999999998,49.3423,4066.0
258,ECO00260,218.83599999999998,43.9717,3174.0
259,ECO00261,137.231,22.813000000000002,4390.0
260,ECO00262,210.88,9.2208,6070.0
261,ECO00263,176.338,9.8024,6212.0
262,ECO00264,179.172,23.8254,4260.0
263,ECO00265,216.321,32.4488,4250.0
264,ECO00266,197.092,-0.9604,5350.0
265,ECO00267,189.98,-0.7997,4320.0
266,ECO00268,202.486,-0.6136,4950.0
267,ECO00269,165.71,-0.3643,4864.0
268,ECO00270,159.659,-0.3449,5440.0
269,ECO00271,190.076,-0.1851,3636.0
270,ECO00272,190.273,-0.083,4704.0
271,ECO00273,202.56,-0.0296,5030.0
272,ECO00274,197.01,9.9565,3090.0
273,ECO00276,152.71,0.2806,6076.0
274,ECO00277,182.356,0.3082,5884.0
275,ECO00279,170.165,0.4574,6980.0
276,ECO00280,177.097,10.4396,6256.0
277,ECO00281,225.96,0.5654,6748.0
278,ECO00282,181.667,1.334,6492.0
279,ECO00283,187.903,1.3483,6896.0
280,ECO00284,182.99,1.4892,6150.0
281,ECO00285,165.90599999999998,10.9371,6216.0
282,ECO00286,197.887,1.5255,5410.0
283,ECO00287,180.679,1.5261,5240.0
284,ECO00288,206.6,1.5788,4932.0
285,ECO00289,192.91099999999997,1.6709,5124.0
286,ECO00290,181.19099999999997,1.8039,5720.0
287,ECO00291,180.967,1.8361,5556.0
288,ECO00292,180.9,2.05,5504.0
289,ECO00293,215.50400000000002,11.3806,4970.0
290,ECO00294,180.153,2.1467,5936.0
291,ECO00295,181.52700000000002,2.1921,6124.0
292,ECO00296,197.421,2.2848,6480.0
293,ECO00297,196.87900000000002,2.3271,5024.0
294,ECO00298,204.342,2.3308,3302.0
295,ECO00299,171.74200000000002,2.3331,6184.0
